name,sub_type_label,sub_type_extra,sub_type,category,line_name,place_id,completion_year,type,city,district,public_type,curriculum_offered,latitude,longitude
Sekolah Menengah Kebangsaan Kepong Baru,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.1977700000000002,101.647
Sekolah Kebangsaan Taman Kepong,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.19895,101.648
Sekolah Kebangsaan Kepong Baru,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.205899,101.645528
Sekolah Kebangsaan Menjalara,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.193969,101.637578
Sekolah Menengah Kebangsaan Taman Bukit Maluri,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.20245,101.634
Sekolah Menengah Kebangsaan Menjalara,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.193501,101.636275
Sekolah Kebangsaan Seri Kepong,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.1912700000000003,101.647
Sekolah Jenis Kebangsaan (Tamil) Ladang Edinburgh,Primary,['Jenis Kebangsaan (T)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (T)'],None,3.2025799999999998,101.633
Sekolah Kebangsaan Taman Bukit Maluri,Primary,['Kebangsaan'],cluster,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.2037,101.633
Sekolah Menengah Kebangsaan Sinar Bintang,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.1886799999999997,101.645
Tzu Chi International School,Primary Secondary A-Levels,None,primary,education,None,,None,International School,None,None,None,Cambridge,3.2095517000000005,101.6495568
Sekolah Jenis Kebangsaan (Cina) Kepong 3,Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.18853,101.640709
Kolej Tingkatan Enam Desa Mahkota,Secondary,['Kolej'],secondary,education,None,,None,Public School,None,None,['Kolej'],None,3.188694,101.639831
The International School @ Parkcity,Primary Secondary Preschool,None,primary,education,None,,None,International School,None,None,None,British,3.1879,101.6376
