project_id,asset_id,latitude,longitude,project_name,state,area,street_name,transaction_count,median_psf,median_price
10113,197831,3.200030088,101.6429977,Kepong Baru,Kuala Lumpur,Kepong,JALAN HELANG,4,388,775000
16814,198072,3.0872479,101.7212832,Bandar Tun Razak (Kampung Konggo),Kuala Lumpur,Bandar Tun Razak,JALAN JUJUR 3,3,294,396667
16319,10652,3.181050062,101.6729965,Sri Putramas I,Kuala Lumpur,Dutamas,JALAN PUTRAMAS 1,3,394,432667
17003,198261,3.1491419,101.624763,Taman Tun Dr Ismail (TTDI),Kuala Lumpur,Taman Tun Dr Ismail,LENGKOK AMINUDDIN BAKI,3,814,1541667
25133,414613,3.1921063,101.6390563,Bandar Menjalara (Desa Seri Mahkota),Kuala Lumpur,Bandar Menjalara,JALAN 6/62,2,512,635000
9153,3550,3.131900072,101.7350006,Casa Ria,Kuala Lumpur,Cheras,JALAN JEJAKA,2,375,412500
29292,None,None,None,DESA PARK CITY (SOUTH LAKE),Kuala Lumpur,None,JALAN DENAI SELATAN,2,1124,1850000
10264,4606,3.16553998,101.6490021,Lanai Kiara,Kuala Lumpur,Mont Kiara,JALAN 1/61A,2,402,575000
11721,6058,3.141988,101.664301,Sri Penaga,Kuala Lumpur,Bangsar,JALAN MAAROF,2,1029,1517500
12099,197894,3.201060057,101.6320038,Taman Bukit Maluri,Kuala Lumpur,Kepong,JALAN BUKIT MALURI 2,2,432,785000
12699,197960,3.073410034,101.677002,Taman OUG,Kuala Lumpur,Taman OUG,JALAN AWAN MERAH,2,531,864000
13464,7801,3.181397,101.690361,The Tamarind,Kuala Lumpur,Sentul,JALAN SENTUL INDAH,2,472,635000
10859,5199,3.1284697,101.684556,BAC Residence (Shresta Flat),Kuala Lumpur,Brickfields,JALAN SULTAN ABDUL SAMAD(TONG FATT MANSION,1,116,100000
16177,10510,3.0673605,101.6996653,Bandar Baru Sri Petaling,Kuala Lumpur,Bandar Baru Sri Petaling,JALAN 8/149K,1,469,1100000
8918,3316,3.138434,101.663518,Bayu Angkasa,Kuala Lumpur,Bangsar,JALAN MEDANG KAPAS,1,573,900000
9014,267074,3.141536,101.713086,Bougainvilla,Kuala Lumpur,Pudu,JALAN 1/62B,1,268,300000
14097,8430,3.109567,101.664593,Camellia service suites,Kuala Lumpur,Bangsar South,CAMELLIA SERVICE SUITE,1,272,234225
9143,3540,3.142950058,101.7040024,Casa Mutiara Service Apartment,Kuala Lumpur,Pudu,JALAN HANG ISAP,1,733,300000
16828,198086,3.152017,101.663993,Damansara Heights (Bukit Damansara),Kuala Lumpur,Damansara,LORONG SETIABISTARI 1,1,713,1650000
17240,287568,3.2036368,101.7172115,Danau Kota,Kuala Lumpur,Setapak,JALAN TAMAN IBU KOTA,1,284,199000
9113,287378,3.2202059,101.7390001,Desa Melawati,Kuala Lumpur,Taman Melawati,JALAN DESA MELAWATI 1A,1,551,1910000
9171,197775,3.185830116,101.6380005,Desa ParkCity (Casaman),Kuala Lumpur,Desa Parkcity,CANGKAT INTISARI,1,1682,3150000
10299,197845,3.187825,101.624698,Desa ParkCity (LeVenue),Kuala Lumpur,Desa Parkcity,JALAN DESA RESIDEN,1,709,4500000
9501,3845,3.103679895,101.6800003,Desa Permai,Kuala Lumpur,Taman Desa,JALAN MORIB,1,485,600000
24933,414033,3.2188362,101.67097,Eco Sky ,Kuala Lumpur,Jalan Ipoh,BATU 6 1/2,1,554,680000
9673,4017,3.216614,101.643988,Fortune Avenue,Kuala Lumpur,Kepong,JALAN METRO PERDANA,1,457,590000
17243,284838,3.084076,101.6858206,Happy Garden (Taman Gembira),Kuala Lumpur,Kuchai Lama,JALAN RIANG,1,521,802000
14316,8649,3.174220085,101.663002,Hartamas Regency,Kuala Lumpur,Dutamas,OFF JALAN SEGAMBUT,1,454,830000
25495,414251,3.105783,101.731317,Jalan Cheras,Kuala Lumpur,Cheras,JALAN CHERAS,1,733,560000
26244,415438,None,None,Jalan Sri Hartamas,Kuala Lumpur,None,JALAN SRI HARTAMAS,1,824,550000
26245,415437,None,None,Jalan Stonor,Kuala Lumpur,None,JALAN STONOR,1,789,2650000
9963,198295,3.057261,101.669472,Jalil Damai Apartments,Kuala Lumpur,Bukit Jalil,JALAN 14/155C,1,378,350000
10103,4445,3.134467,101.707186,Kenanga Point,Kuala Lumpur,Pudu,JALAN GELUGOR,1,412,355000
10125,4467,3.168400049,101.6480026,Kiara Designer Suites,Kuala Lumpur,Mont Kiara,JALAN KIARA 3,1,573,820000
16891,198149,3.160685,101.643264,Kiara View Sungai Penchala,Kuala Lumpur,Kampung Sungai Penchala,JALAN PUNCAK KIARA INDAH,1,618,3700000
10254,4596,3.100869894,101.7289963,Laman Midah,Kuala Lumpur,Cheras,JALAN MIDAH 8,1,540,430000
10389,4730,3.08307004,101.6780014,Meadow Park 3 (Washington Tower),Kuala Lumpur,Jalan Klang Lama (Old Klang Road),JALAN 1/130,1,114,120000
14466,8799,3.223386,101.729386,Melati Utama,Kuala Lumpur,Setapak,JALAN TAMAN MELATI,1,307,410000
10426,4767,3.207410097,101.7360001,Menara Alpha,Kuala Lumpur,Wangsa Maju,JALAN 4/27A,1,366,335000
14487,8820,3.192597,101.634858,Menjalara 18,Kuala Lumpur,Bandar Menjalara,JALAN 1/62,1,414,535000
24915,414012,3.0973514,101.7018541,Midfields 2,Kuala Lumpur,Salak Selatan,JALAN BESI KAWI,1,177,184803
10597,4938,3.17201,101.6553363,Mont Kiara Banyan,Kuala Lumpur,Mont Kiara,JALAN KIARA,1,567,1500000
10598,4939,3.172126,101.653789,Mont Kiara Bayu,Kuala Lumpur,Mont Kiara,JALAN 3,1,540,570000
14815,9148,3.220165,101.7194726,Pangsapuri Bandaraya Gombak,Kuala Lumpur,Setapak,OFF JALAN GOMBAK,1,331,185000
10820,5160,3.109157,101.661852,Pantai Panorama,Kuala Lumpur,Pantai Dalam/Kerinchi,JALAN 112H,1,615,450000
10875,5215,3.084588,101.674043,Pearl Point Condominium,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),JALAN SEPADU 3,1,307,360000
16912,268320,3.1837839,101.7514685,PKNS Ulu Kelang,Kuala Lumpur,Taman Setiawangsa,None,1,364,200000
11096,5435,3.099080086,101.7289963,Prisma Perdana,Kuala Lumpur,Cheras,JALAN MIDAH 8A,1,352,288000
24953,414055,3.0923286,101.7220329,Residensi Razakmas,Kuala Lumpur,Bandar Tun Razak,JALAN BAKTI,1,474,485000
11460,197870,3.161530018,101.6419983,Serene Kiara,Kuala Lumpur,Sri Hartamas,JALAN SERENE KIARA 4,1,813,2670000
11563,5900,3.140530109,101.6269989,Sinaran TTDI,Kuala Lumpur,Taman Tun Dr Ismail,JALAN TUN MOHD FUAD 4,1,774,1840000
11657,5994,3.0861206,101.6902346,Sri Desa Entrepreneur's Park,Kuala Lumpur,Kuchai Lama,JALAN 9/116B,1,184,210000
12062,197888,3.0717,101.748001,Taman Bukit Cheras,Kuala Lumpur,Cheras,JALAN 6/144A,1,468,700000
12065,198481,3.213870049,101.6190033,Taman Bukit Desa,Kuala Lumpur,Kepong,JALAN TAMAN BUKIT DESA,1,683,2050000
16992,198250,3.1062957,101.7393841,Taman Bukit Mewah,Kuala Lumpur,Cheras,JALAN LANCANG,1,489,700000
12190,6527,3.089359999,101.6800003,Taman Continental,Kuala Lumpur,Kuchai Lama,JALAN RUKUN 6,1,402,680000
16961,198219,3.1043785,101.6856136,Taman Desa,Kuala Lumpur,Taman Desa,JALAN DESA UTAMA,1,532,1420000
16976,198234,3.0923765,101.678707,Taman Lian Hoe,Kuala Lumpur,Kuchai Lama,JALAN KUCHAI 6,1,326,750000
12560,197947,3.142352,101.731075,Taman Maluri,Kuala Lumpur,Cheras,JALAN PRIA,1,352,580000
17248,287572,3.194558,101.6541,Taman Megah Kepong,Kuala Lumpur,Kepong,JALAN 7/39,1,654,915000
16978,198236,3.2206164,101.6988603,Taman Melewar,Kuala Lumpur,Gombak,JALAN BATU GELIGA,1,265,425000
22915,405240,3.0789887,101.6931481,Taman Salak Selatan,Kuala Lumpur,Salak Selatan,JALAN PERKASA 10,1,390,600000
12920,197978,3.119899988,101.6819992,Taman Seputeh,Kuala Lumpur,Seputeh,JALAN SEPUTEH 2,1,542,1300000
13082,197993,3.197079897,101.7340012,Taman Sri Rampai,Kuala Lumpur,Setapak,JALAN 3/26,1,533,470000
13092,197995,3.187609911,101.651001,Taman Sri Sinar,Kuala Lumpur,Segambut,JALAN 27/38A,1,644,388000
13154,197996,3.071870089,101.6620026,Taman Tan Yew Lai,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),JALAN BUKIT TINGGI,1,363,988000
13169,198000,3.086390018,101.7369995,Taman Taynton View,Kuala Lumpur,Cheras,JALAN MAHADEVI,1,352,580000
25349,414397,3.201574,101.710673,Taman Teratai Mewah,Kuala Lumpur,Setapak,OFF JALAN LANGKAWI,1,365,240000
13228,198005,3.211430073,101.6709976,Taman Wahyu,Kuala Lumpur,Kepong,JALAN SIBU 4,1,425,700000
17004,198262,3.0692981,101.6681863,Taman Yarl,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),LORONG AWAN BIRU,1,501,2600000
13334,7671,3.16125989,101.7480011,The Elements,Kuala Lumpur,Ampang,JALAN BEMBAN,1,450,450000
13510,7847,3.173285,101.658841,Tiffani Kiara,Kuala Lumpur,Mont Kiara,CHANGKAT DUTA KIARA,1,607,1360000
13520,7857,3.138870001,101.6610031,Tivoli Villas,Kuala Lumpur,Bangsar,JALAN MEDANG TANDUK,1,621,1497000
13652,7987,3.159509897,101.7399979,Villa Aman,Kuala Lumpur,Ampang Hilir,JALAN RITCHIE,1,551,1600000
10138,4480,3.0792707,101.6963337,Villa Bahagia,Kuala Lumpur,Salak Selatan,CHANGKAT DUTA KIARA,1,694,1300000
13690,198040,3.168839931,101.6520004,Villa Mont Kiara,Kuala Lumpur,Mont Kiara,JALAN BUKIT KIARA,1,1376,7200000
13230,198006,3.203160048,101.7480011,Wangsa Melawati,Kuala Lumpur,Wangsa Maju,LORONG WANGSA CERIA 1C,1,510,450000
15138,9471,3.07777,101.65551,West Court Taman Sri Sentosa,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),JALAN KELANG LAMA,1,378,350000
28340,None,0,0,Serenia City,Selangor,Dengkil,JALAN AMAN SERENIA 7/10 BANDAR SERENIA,10,388,624088
11518,264796,2.92187,101.842003,Setia Ecohill,Selangor,Semenyih,JALAN ECOHILL 1/3B,3,306,1029334
28534,None,2.9409056,101.4579906,Taman Villa Perdana,Selangor,Telok Panglima Garang,JALAN VILLA PERDANA 6,3,424,1581667
28428,None,2.8807658,101.7240233,Jenderam Impian,Selangor,Dengkil,JALAN KAJANG-DENGKIL,2,429,550000
12792,265246,2.99621,101.745003,Puncak Utama,Selangor,Kajang,JALAN PUNCAK 1/11,2,303,442500
11769,264845,3.07075,101.578003,SS 19 Subang Jaya,Selangor,Subang Jaya,JALAN SS 19/4E,2,456,1695000
15193,9526,3.154346,101.593521,Strand Residensi,Selangor,Kota Damansara,JALAN PJU 5/23,2,670,767500
23628,357468,2.7994774,101.7103332,Taman Indah Puteri,Selangor,Sepang,JALAN IP 28,2,146,468060
28531,None,0,0,Taman Sri Pelangi,Selangor,,JALAN SUNGAI RABA,2,285,438800
8835,3233,3.08712,101.439003,Bandar Bukit Raja,Selangor,Bandar Bukit Raja,JALAN NGAJAT 3/KU5,1,441,665000
14042,284972,2.8240546,101.5671117,Bandar Mahkota Banting (Brooklands),Selangor,Banting,JALAN ANGKASA,1,203,335000
8873,264100,2.90275,101.794998,Bangi Avenue,Selangor,Bangi,JALAN BANGI AVENUE 6/10,1,376,490000
9233,264226,3.06765,101.792999,Cheras Vista,Selangor,Cheras South,JALAN VISTA 3/1A,1,450,693000
14151,263901,2.92455,101.639,Cyberia SmartHome,Selangor,Cyberjaya,PERSIARAN MULTIMEDIA,1,353,322896
9435,264274,3.15526,101.514999,Denai Alam,Selangor,Denai Alam,JALAN 2A,1,209,230000
9470,3814,2.99689,101.593002,Desa Impiana Taman Puchong Prima,Selangor,Puchong,JALAN PRIMA UTAMA,1,306,320000
