project_id,project_name,transacted_price,unit_price_psf,date,property_type,tenure,floor,area_sqft,non_landed,bedrooms,street_name,psf,price,state,planning_region
10113,Kepong Baru,610000,310,1576454400,Terrace House,Leasehold,None,1970,0,3,JALAN HELANG,310,610000,Kuala Lumpur,Kepong
10113,Kepong Baru,720000,468,1576195200,Terrace House,Leasehold,None,1539,0,3,LORONG LANG HITAM 6,468,720000,Kuala Lumpur,Kepong
10113,Kepong Baru,670000,435,1576108800,Terrace House,Leasehold,None,1539,0,3,JALAN LANG KEPALA PUTIH,435,670000,Kuala Lumpur,Kepong
10113,Kepong Baru,1100000,336,1575936000,Terrace House,Leasehold,None,3272,0,3,JALAN CHIAK RAYA,336,1100000,Kuala Lumpur,Kepong
16814,Bandar Tun Razak (Kampung Konggo),280000,283,1575936000,Cluster House,Leasehold,None,990,0,2,JALAN JUJUR 3,283,280000,Kuala Lumpur,Bandar Tun Razak
16814,Bandar Tun Razak (Kampung Konggo),410000,305,1575590400,Cluster House,Leasehold,None,1346,0,3,LORONG MEWAH 5,305,410000,Kuala Lumpur,Bandar Tun Razak
16814,Bandar Tun Razak (Kampung Konggo),500000,294,1575590400,Cluster House,Leasehold,None,1701,0,2,LORONG IKHLAS 1,294,500000,Kuala Lumpur,Bandar Tun Razak
16319,Sri Putramas I,450000,410,1577145600,Condominium/Apartment,Leasehold,16,1098,1,3,JALAN PUTRAMAS 1,410,450000,Kuala Lumpur,Dutamas
16319,Sri Putramas I,438000,399,1575331200,Condominium/Apartment,Leasehold,1,1098,1,3,JALAN PUTRAMAS 1,399,438000,Kuala Lumpur,Dutamas
16319,Sri Putramas I,410000,373,1575331200,Condominium/Apartment,Leasehold,11,1098,1,3,JALAN PUTRAMAS 1,373,410000,Kuala Lumpur,Dutamas
17003,Taman Tun Dr Ismail (TTDI),1390000,742,1576800000,Terrace House,Leasehold,None,1873,0,4,LENGKOK AMINUDDIN BAKI,742,1390000,Kuala Lumpur,Taman Tun Dr Ismail
17003,Taman Tun Dr Ismail (TTDI),1635000,858,1576713600,Terrace House,Leasehold,None,1905,0,4,JALAN DATUK SULAIMAN 4,858,1635000,Kuala Lumpur,Taman Tun Dr Ismail
17003,Taman Tun Dr Ismail (TTDI),1600000,840,1575244800,Terrace House,Leasehold,None,1905,0,4,JALAN DATUK SULAIMAN 3,840,1600000,Kuala Lumpur,Taman Tun Dr Ismail
25133,Bandar Menjalara (Desa Seri Mahkota),790000,480,1576454400,Terrace House,Leasehold,None,1647,0,3,JALAN 6/62,480,790000,Kuala Lumpur,Bandar Menjalara
25133,Bandar Menjalara (Desa Seri Mahkota),480000,544,1575504000,Terrace House,Leasehold,None,883,0,3,JALAN 15/62B,544,480000,Kuala Lumpur,Bandar Menjalara
9153,Casa Ria,375000,348,1576454400,Condominium/Apartment,Leasehold,2,1076,1,3,JALAN JEJAKA,348,375000,Kuala Lumpur,Cheras
9153,Casa Ria,450000,402,1575158400,Condominium/Apartment,Leasehold,7,1119,1,3,JALAN JEJAKA,402,450000,Kuala Lumpur,Cheras
29292,DESA PARK CITY (SOUTH LAKE),1900000,1154,1577664000,Terrace House,Leasehold,None,1647,0,4,JALAN DENAI SELATAN,1154,1900000,Kuala Lumpur,None
29292,DESA PARK CITY (SOUTH LAKE),1800000,1093,1576022400,Terrace House,Leasehold,None,1647,0,4,JALAN DENAI SELATAN,1093,1800000,Kuala Lumpur,None
10264,Lanai Kiara,600000,419,1575936000,Condominium/Apartment,Leasehold,18,1432,1,3,JALAN 1/61A,419,600000,Kuala Lumpur,Mont Kiara
10264,Lanai Kiara,550000,384,1575417600,Condominium/Apartment,Leasehold,3,1432,1,3,JALAN 1/61A,384,550000,Kuala Lumpur,Mont Kiara
11721,Sri Penaga,1960000,1006,1575331200,Condominium/Apartment,Leasehold,14,1948,1,2,JALAN MEDANG SERAI,1006,1960000,Kuala Lumpur,Bangsar
11721,Sri Penaga,1075000,1051,1575244800,Condominium/Apartment,Leasehold,13,1023,1,3,JALAN MAAROF,1051,1075000,Kuala Lumpur,Bangsar
12099,Taman Bukit Maluri,770000,436,1577750400,Terrace House,Leasehold,None,1765,0,3,JALAN BUKIT MALURI 11,436,770000,Kuala Lumpur,Kepong
12099,Taman Bukit Maluri,800000,427,1575936000,Terrace House,Leasehold,None,1873,0,3,JALAN BUKIT MALURI 2,427,800000,Kuala Lumpur,Kepong
12699,Taman OUG,743000,463,1576022400,Terrace House,Leasehold,None,1604,0,4,JALAN AWAN MERAH,463,743000,Kuala Lumpur,Taman OUG
12699,Taman OUG,985000,598,1575849600,Terrace House,Leasehold,None,1647,0,3,JALAN HUJAN MANIK,598,985000,Kuala Lumpur,Taman OUG
13464,The Tamarind,660000,491,1577145600,Condominium/Apartment,Leasehold,26,1346,1,2,JALAN SENTUL INDAH,491,660000,Kuala Lumpur,Sentul
13464,The Tamarind,610000,453,1576454400,Condominium/Apartment,Leasehold,23,1346,1,4,JALAN SENTUL INDAH,453,610000,Kuala Lumpur,Sentul
10859,BAC Residence (Shresta Flat),100000,116,1575849600,Condominium/Apartment,Leasehold,127,861,1,2,JALAN SULTAN ABDUL SAMAD(TONG FATT MANSION,116,100000,Kuala Lumpur,Brickfields
16177,Bandar Baru Sri Petaling,1100000,469,1576627200,Terrace House,Leasehold,None,2347,0,3,JALAN 8/149K,469,1100000,Kuala Lumpur,Bandar Baru Sri Petaling
8918,Bayu Angkasa,900000,573,1575504000,Condominium/Apartment,Leasehold,8,1572,1,2,JALAN MEDANG KAPAS,573,900000,Kuala Lumpur,Bangsar
9014,Bougainvilla,300000,268,1576540800,Condominium/Apartment,Leasehold,12,1119,1,3,JALAN 1/62B,268,300000,Kuala Lumpur,Pudu
14097,Camellia service suites,234225,272,1577059200,Hotel/Service Apartment,Leasehold,19,861,1,1,CAMELLIA SERVICE SUITE,272,234225,Kuala Lumpur,Bangsar South
9143,Casa Mutiara Service Apartment,300000,733,1575417600,Hotel/Service Apartment,Leasehold,15,409,1,2,JALAN HANG ISAP,733,300000,Kuala Lumpur,Pudu
16828,Damansara Heights (Bukit Damansara),1650000,713,1575504000,Terrace House,Leasehold,None,2314,0,4,LORONG SETIABISTARI 1,713,1650000,Kuala Lumpur,Damansara
17240,Danau Kota,199000,284,1575244800,Flat,Leasehold,19,700,1,3,JALAN TAMAN IBU KOTA,284,199000,Kuala Lumpur,Setapak
9113,Desa Melawati,1910000,551,1575244800,Terrace House,Leasehold,None,3466,0,4,JALAN DESA MELAWATI 1A,551,1910000,Kuala Lumpur,Wangsa Maju
9171,Desa ParkCity (Casaman),3150000,1682,1575936000,Terrace House,Leasehold,None,1873,0,3,CANGKAT INTISARI,1682,3150000,Kuala Lumpur,Desa Parkcity
10299,Desa ParkCity (LeVenue),4500000,709,1576195200,Semi-Detached House,Leasehold,None,6351,0,7,JALAN DESA RESIDEN,709,4500000,Kuala Lumpur,Desa Parkcity
9501,Desa Permai,600000,485,1575158400,Condominium/Apartment,Leasehold,G,1238,1,3,JALAN MORIB,485,600000,Kuala Lumpur,Taman Desa
24933,Eco Sky ,680000,554,1575590400,Hotel/Service Apartment,Leasehold,29,1227,1,3,BATU 6 1/2,554,680000,Kuala Lumpur,Jalan Ipoh
9673,Fortune Avenue,590000,457,1576454400,Hotel/Service Apartment,Leasehold,15,1292,1,3,JALAN METRO PERDANA,457,590000,Kuala Lumpur,Kepong
17243,Happy Garden (Taman Gembira),802000,521,1575590400,Terrace House,Leasehold,None,1539,0,3,JALAN RIANG,521,802000,Kuala Lumpur,Kuchai Lama
14316,Hartamas Regency,830000,454,1575849600,Condominium/Apartment,Leasehold,2,1830,1,3,OFF JALAN SEGAMBUT,454,830000,Kuala Lumpur,Dutamas
25495,Jalan Cheras,560000,733,1576022400,Hotel/Service Apartment,Leasehold,12,764,1,None,JALAN CHERAS,733,560000,Kuala Lumpur,Cheras
26244,Jalan Sri Hartamas,550000,824,1577318400,Hotel/Service Apartment,Leasehold,15,667,1,None,JALAN SRI HARTAMAS,824,550000,Kuala Lumpur,None
26245,Jalan Stonor,2650000,789,1575417600,Condominium/Apartment,Leasehold,17,3358,1,6,JALAN STONOR,789,2650000,Kuala Lumpur,None
9963,Jalil Damai Apartments,350000,378,1575417600,Condominium/Apartment,Leasehold,13,926,1,3,JALAN 14/155C,378,350000,Kuala Lumpur,Bukit Jalil
10103,Kenanga Point,355000,412,1576627200,Condominium/Apartment,Leasehold,9,861,1,3,JALAN GELUGOR,412,355000,Kuala Lumpur,Pudu
10125,Kiara Designer Suites,820000,573,1575417600,Hotel/Service Apartment,Leasehold,7,1432,1,3,JALAN KIARA 3,573,820000,Kuala Lumpur,Mont Kiara
16891,Kiara View Sungai Penchala,3700000,618,1575331200,Semi-Detached House,Leasehold,None,5985,0,5,JALAN PUNCAK KIARA INDAH,618,3700000,Kuala Lumpur,Kampung Sungai Penchala
10254,Laman Midah,430000,540,1575936000,Condominium/Apartment,Leasehold,10,797,1,3,JALAN MIDAH 8,540,430000,Kuala Lumpur,Cheras
10389,Meadow Park 3 (Washington Tower),120000,114,1575417600,Condominium/Apartment,Leasehold,12,1055,1,3,JALAN 1/130,114,120000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road)
14466,Melati Utama,410000,307,1575849600,Condominium/Apartment,Leasehold,3A,1335,1,4,JALAN TAMAN MELATI,307,410000,Kuala Lumpur,Setapak
10426,Menara Alpha,335000,366,1575417600,Condominium/Apartment,Leasehold,2,915,1,3,JALAN 4/27A,366,335000,Kuala Lumpur,Wangsa Maju
14487,Menjalara 18,535000,414,1575849600,Condominium/Apartment,Leasehold,9,1292,1,5,JALAN 1/62,414,535000,Kuala Lumpur,Bandar Menjalara
24915,Midfields 2,184803,177,1577318400,Condominium/Apartment,Leasehold,21,1044,1,3,JALAN BESI KAWI,177,184803,Kuala Lumpur,Salak Selatan
10597,Mont Kiara Banyan,1500000,567,1575417600,Condominium/Apartment,Leasehold,11,2648,1,4,JALAN KIARA,567,1500000,Kuala Lumpur,Mont Kiara
10598,Mont Kiara Bayu,570000,540,1576195200,Condominium/Apartment,Leasehold,36,1055,1,2,JALAN 3,540,570000,Kuala Lumpur,Mont Kiara
14815,Pangsapuri Bandaraya Gombak,185000,331,1575417600,Flat,Leasehold,4,560,1,2,OFF JALAN GOMBAK,331,185000,Kuala Lumpur,Setapak
10820,Pantai Panorama,450000,615,1575417600,Condominium/Apartment,Leasehold,3,732,1,3,JALAN 112H,615,450000,Kuala Lumpur,Pantai Dalam/Kerinchi
10875,Pearl Point Condominium,360000,307,1575849600,Condominium/Apartment,Leasehold,24,1173,1,3,JALAN SEPADU 3,307,360000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road)
16912,PKNS Ulu Kelang,200000,364,1576022400,Condominium/Apartment,Leasehold,None,549,1,2,None,364,200000,Kuala Lumpur,Taman Setiawangsa
11096,Prisma Perdana,288000,352,1576540800,Condominium/Apartment,Leasehold,12,818,1,3,JALAN MIDAH 8A,352,288000,Kuala Lumpur,Cheras
24953,Residensi Razakmas,485000,474,1576540800,Condominium/Apartment,Leasehold,27,1023,1,3,JALAN BAKTI,474,485000,Kuala Lumpur,Bandar Tun Razak
11460,Serene Kiara,2670000,813,1575849600,Semi-Detached House,Leasehold,None,3283,0,5,JALAN SERENE KIARA 4,813,2670000,Kuala Lumpur,Sri Hartamas
11563,Sinaran TTDI,1840000,774,1576540800,Hotel/Service Apartment,Leasehold,23,2379,1,4,JALAN TUN MOHD FUAD 4,774,1840000,Kuala Lumpur,Taman Tun Dr Ismail
11657,Sri Desa Entrepreneur's Park,210000,184,1577059200,Flat,Leasehold,3,1141,1,3,JALAN 9/116B,184,210000,Kuala Lumpur,Kuchai Lama
12062,Taman Bukit Cheras,700000,468,1576195200,Terrace House,Leasehold,None,1496,0,4,JALAN 6/144A,468,700000,Kuala Lumpur,Cheras
12065,Taman Bukit Desa,2050000,683,1575504000,Terrace House,Leasehold,None,3003,0,4,JALAN TAMAN BUKIT DESA,683,2050000,Kuala Lumpur,Kepong
16992,Taman Bukit Mewah,700000,489,1575244800,Terrace House,Leasehold,None,1432,0,3,JALAN LANCANG,489,700000,Kuala Lumpur,Cheras
12190,Taman Continental,680000,402,1575849600,Terrace House,Leasehold,None,1690,0,3,JALAN RUKUN 6,402,680000,Kuala Lumpur,Kuchai Lama
16961,Taman Desa,1420000,532,1577318400,Terrace House,Leasehold,None,2669,0,3,JALAN DESA UTAMA,532,1420000,Kuala Lumpur,Taman Desa
16976,Taman Lian Hoe,750000,326,1576108800,Semi-Detached House,Leasehold,None,2303,0,3,JALAN KUCHAI 6,326,750000,Kuala Lumpur,Kuchai Lama
12560,Taman Maluri,580000,352,1575504000,Terrace House,Leasehold,None,1647,0,4,JALAN PRIA,352,580000,Kuala Lumpur,Cheras
17248,Taman Megah Kepong,915000,654,1576627200,Terrace House,Leasehold,None,1399,0,3,JALAN 7/39,654,915000,Kuala Lumpur,Kepong
16978,Taman Melewar,425000,265,1577318400,Terrace House,Leasehold,None,1604,0,3,JALAN BATU GELIGA,265,425000,Kuala Lumpur,Gombak
22915,Taman Salak Selatan,600000,390,1575590400,Terrace House,Leasehold,None,1539,0,4,JALAN PERKASA 10,390,600000,Kuala Lumpur,Salak Selatan
12920,Taman Seputeh,1300000,542,1575417600,Terrace House,Leasehold,None,2400,0,3,JALAN SEPUTEH 2,542,1300000,Kuala Lumpur,Seputeh
