,project_id,date,property_type,tenure,area_sqft,non_landed,bedrooms,street_name,psf,price,planning_region
0,10113,1576454400,Terrace House,Leasehold,1970,0,3.0,JALAN HELANG,310,610000,Kepong
1,10113,1576195200,Terrace House,Leasehold,1539,0,3.0,LORONG LANG HITAM 6,468,720000,Kepong
2,10113,1576108800,Terrace House,Leasehold,1539,0,3.0,JALAN LANG KEPALA PUTIH,435,670000,Kepong
3,10113,1575936000,Terrace House,Leasehold,3272,0,3.0,JALAN CHIAK RAYA,336,1100000,Kepong
4,16814,1575936000,Cluster House,Leasehold,990,0,2.0,JALAN JUJUR 3,283,280000,Bandar Tun Razak
5,16814,1575590400,Cluster House,Leasehold,1346,0,3.0,LORONG MEWAH 5,305,410000,Bandar Tun Razak
6,16814,1575590400,Cluster House,Leasehold,1701,0,2.0,LORONG IKHLAS 1,294,500000,Bandar Tun Razak
7,16319,1577145600,Condominium/Apartment,Leasehold,1098,1,3.0,JALAN PUTRAMAS 1,410,450000,Dutamas
8,16319,1575331200,Condominium/Apartment,Leasehold,1098,1,3.0,JALAN PUTRAMAS 1,399,438000,Dutamas
9,16319,1575331200,Condominium/Apartment,Leasehold,1098,1,3.0,JALAN PUTRAMAS 1,373,410000,Dutamas
10,17003,1576800000,Terrace House,Leasehold,1873,0,4.0,LENGKOK AMINUDDIN BAKI,742,1390000,Taman Tun Dr Ismail
11,17003,1576713600,Terrace House,Leasehold,1905,0,4.0,JALAN DATUK SULAIMAN 4,858,1635000,Taman Tun Dr Ismail
12,17003,1575244800,Terrace House,Leasehold,1905,0,4.0,JALAN DATUK SULAIMAN 3,840,1600000,Taman Tun Dr Ismail
13,25133,1576454400,Terrace House,Leasehold,1647,0,3.0,JALAN 6/62,480,790000,Bandar Menjalara
14,25133,1575504000,Terrace House,Leasehold,883,0,3.0,JALAN 15/62B,544,480000,Bandar Menjalara
15,9153,1576454400,Condominium/Apartment,Leasehold,1076,1,3.0,JALAN JEJAKA,348,375000,Cheras
16,9153,1575158400,Condominium/Apartment,Leasehold,1119,1,3.0,JALAN JEJAKA,402,450000,Cheras
17,29292,1577664000,Terrace House,Leasehold,1647,0,4.0,JALAN DENAI SELATAN,1154,1900000,
18,29292,1576022400,Terrace House,Leasehold,1647,0,4.0,JALAN DENAI SELATAN,1093,1800000,
19,10264,1575936000,Condominium/Apartment,Leasehold,1432,1,3.0,JALAN 1/61A,419,600000,Mont Kiara
20,10264,1575417600,Condominium/Apartment,Leasehold,1432,1,3.0,JALAN 1/61A,384,550000,Mont Kiara
21,11721,1575331200,Condominium/Apartment,Leasehold,1948,1,2.0,JALAN MEDANG SERAI,1006,1960000,Bangsar
22,11721,1575244800,Condominium/Apartment,Leasehold,1023,1,3.0,JALAN MAAROF,1051,1075000,Bangsar
23,12099,1577750400,Terrace House,Leasehold,1765,0,3.0,JALAN BUKIT MALURI 11,436,770000,Kepong
24,12099,1575936000,Terrace House,Leasehold,1873,0,3.0,JALAN BUKIT MALURI 2,427,800000,Kepong
25,12699,1576022400,Terrace House,Leasehold,1604,0,4.0,JALAN AWAN MERAH,463,743000,Taman OUG
26,12699,1575849600,Terrace House,Leasehold,1647,0,3.0,JALAN HUJAN MANIK,598,985000,Taman OUG
27,13464,1577145600,Condominium/Apartment,Leasehold,1346,1,2.0,JALAN SENTUL INDAH,491,660000,Sentul
28,13464,1576454400,Condominium/Apartment,Leasehold,1346,1,4.0,JALAN SENTUL INDAH,453,610000,Sentul
29,10859,1575849600,Condominium/Apartment,Leasehold,861,1,2.0,JALAN SULTAN ABDUL SAMAD(TONG FATT MANSION,116,100000,Brickfields
30,16177,1576627200,Terrace House,Leasehold,2347,0,3.0,JALAN 8/149K,469,1100000,Bandar Baru Sri Petaling
31,8918,1575504000,Condominium/Apartment,Leasehold,1572,1,2.0,JALAN MEDANG KAPAS,573,900000,Bangsar
32,9014,1576540800,Condominium/Apartment,Leasehold,1119,1,3.0,JALAN 1/62B,268,300000,Pudu
33,14097,1577059200,Hotel/Service Apartment,Leasehold,861,1,1.0,CAMELLIA SERVICE SUITE,272,234225,Bangsar South
34,9143,1575417600,Hotel/Service Apartment,Leasehold,409,1,2.0,JALAN HANG ISAP,733,300000,Pudu
35,16828,1575504000,Terrace House,Leasehold,2314,0,4.0,LORONG SETIABISTARI 1,713,1650000,Damansara
36,17240,1575244800,Flat,Leasehold,700,1,3.0,JALAN TAMAN IBU KOTA,284,199000,Setapak
37,9113,1575244800,Terrace House,Leasehold,3466,0,4.0,JALAN DESA MELAWATI 1A,551,1910000,Wangsa Maju
38,9171,1575936000,Terrace House,Leasehold,1873,0,3.0,CANGKAT INTISARI,1682,3150000,Desa Parkcity
39,10299,1576195200,Semi-Detached House,Leasehold,6351,0,7.0,JALAN DESA RESIDEN,709,4500000,Desa Parkcity
40,9501,1575158400,Condominium/Apartment,Leasehold,1238,1,3.0,JALAN MORIB,485,600000,Taman Desa
41,24933,1575590400,Hotel/Service Apartment,Leasehold,1227,1,3.0,BATU 6 1/2,554,680000,Jalan Ipoh
42,9673,1576454400,Hotel/Service Apartment,Leasehold,1292,1,3.0,JALAN METRO PERDANA,457,590000,Kepong
43,17243,1575590400,Terrace House,Leasehold,1539,0,3.0,JALAN RIANG,521,802000,Kuchai Lama
44,14316,1575849600,Condominium/Apartment,Leasehold,1830,1,3.0,OFF JALAN SEGAMBUT,454,830000,Dutamas
45,25495,1576022400,Hotel/Service Apartment,Leasehold,764,1,,JALAN CHERAS,733,560000,Cheras
46,26244,1577318400,Hotel/Service Apartment,Leasehold,667,1,,JALAN SRI HARTAMAS,824,550000,
47,26245,1575417600,Condominium/Apartment,Leasehold,3358,1,6.0,JALAN STONOR,789,2650000,
48,9963,1575417600,Condominium/Apartment,Leasehold,926,1,3.0,JALAN 14/155C,378,350000,Bukit Jalil
49,10103,1576627200,Condominium/Apartment,Leasehold,861,1,3.0,JALAN GELUGOR,412,355000,Pudu
50,10125,1575417600,Hotel/Service Apartment,Leasehold,1432,1,3.0,JALAN KIARA 3,573,820000,Mont Kiara
51,16891,1575331200,Semi-Detached House,Leasehold,5985,0,5.0,JALAN PUNCAK KIARA INDAH,618,3700000,Kampung Sungai Penchala
52,10254,1575936000,Condominium/Apartment,Leasehold,797,1,3.0,JALAN MIDAH 8,540,430000,Cheras
53,10389,1575417600,Condominium/Apartment,Leasehold,1055,1,3.0,JALAN 1/130,114,120000,Jalan Klang Lama (Old Klang Road)
54,14466,1575849600,Condominium/Apartment,Leasehold,1335,1,4.0,JALAN TAMAN MELATI,307,410000,Setapak
55,10426,1575417600,Condominium/Apartment,Leasehold,915,1,3.0,JALAN 4/27A,366,335000,Wangsa Maju
56,14487,1575849600,Condominium/Apartment,Leasehold,1292,1,5.0,JALAN 1/62,414,535000,Bandar Menjalara
57,24915,1577318400,Condominium/Apartment,Leasehold,1044,1,3.0,JALAN BESI KAWI,177,184803,Salak Selatan
58,10597,1575417600,Condominium/Apartment,Leasehold,2648,1,4.0,JALAN KIARA,567,1500000,Mont Kiara
59,10598,1576195200,Condominium/Apartment,Leasehold,1055,1,2.0,JALAN 3,540,570000,Mont Kiara
60,14815,1575417600,Flat,Leasehold,560,1,2.0,OFF JALAN GOMBAK,331,185000,Setapak
61,10820,1575417600,Condominium/Apartment,Leasehold,732,1,3.0,JALAN 112H,615,450000,Pantai Dalam/Kerinchi
62,10875,1575849600,Condominium/Apartment,Leasehold,1173,1,3.0,JALAN SEPADU 3,307,360000,Jalan Klang Lama (Old Klang Road)
63,16912,1576022400,Condominium/Apartment,Leasehold,549,1,2.0,,364,200000,Taman Setiawangsa
64,11096,1576540800,Condominium/Apartment,Leasehold,818,1,3.0,JALAN MIDAH 8A,352,288000,Cheras
65,24953,1576540800,Condominium/Apartment,Leasehold,1023,1,3.0,JALAN BAKTI,474,485000,Bandar Tun Razak
66,11460,1575849600,Semi-Detached House,Leasehold,3283,0,5.0,JALAN SERENE KIARA 4,813,2670000,Sri Hartamas
67,11563,1576540800,Hotel/Service Apartment,Leasehold,2379,1,4.0,JALAN TUN MOHD FUAD 4,774,1840000,Taman Tun Dr Ismail
68,11657,1577059200,Flat,Leasehold,1141,1,3.0,JALAN 9/116B,184,210000,Kuchai Lama
69,12062,1576195200,Terrace House,Leasehold,1496,0,4.0,JALAN 6/144A,468,700000,Cheras
70,12065,1575504000,Terrace House,Leasehold,3003,0,4.0,JALAN TAMAN BUKIT DESA,683,2050000,Kepong
71,16992,1575244800,Terrace House,Leasehold,1432,0,3.0,JALAN LANCANG,489,700000,Cheras
72,12190,1575849600,Terrace House,Leasehold,1690,0,3.0,JALAN RUKUN 6,402,680000,Kuchai Lama
73,16961,1577318400,Terrace House,Leasehold,2669,0,3.0,JALAN DESA UTAMA,532,1420000,Taman Desa
74,16976,1576108800,Semi-Detached House,Leasehold,2303,0,3.0,JALAN KUCHAI 6,326,750000,Kuchai Lama
75,12560,1575504000,Terrace House,Leasehold,1647,0,4.0,JALAN PRIA,352,580000,Cheras
76,17248,1576627200,Terrace House,Leasehold,1399,0,3.0,JALAN 7/39,654,915000,Kepong
77,16978,1577318400,Terrace House,Leasehold,1604,0,3.0,JALAN BATU GELIGA,265,425000,Gombak
78,22915,1575590400,Terrace House,Leasehold,1539,0,4.0,JALAN PERKASA 10,390,600000,Salak Selatan
79,12920,1575417600,Terrace House,Leasehold,2400,0,3.0,JALAN SEPUTEH 2,542,1300000,Seputeh
80,13082,1576454400,Terrace House,Leasehold,883,0,3.0,JALAN 3/26,533,470000,Setapak
81,13092,1575331200,Terrace House,Leasehold,603,0,3.0,JALAN 27/38A,644,388000,Segambut
82,13154,1575936000,Semi-Detached House,Leasehold,2723,0,7.0,JALAN BUKIT TINGGI,363,988000,Jalan Klang Lama (Old Klang Road)
83,13169,1575590400,Terrace House,Leasehold,1647,0,3.0,JALAN MAHADEVI,352,580000,Cheras
84,25349,1575590400,Condominium/Apartment,Leasehold,657,1,2.0,OFF JALAN LANGKAWI,365,240000,Setapak
85,13228,1576627200,Terrace House,Leasehold,1647,0,3.0,JALAN SIBU 4,425,700000,Kepong
86,17004,1576108800,Semi-Detached House,Leasehold,5188,0,5.0,LORONG AWAN BIRU,501,2600000,Jalan Klang Lama (Old Klang Road)
87,13334,1576195200,Hotel/Service Apartment,Leasehold,1001,1,3.0,JALAN BEMBAN,450,450000,Ampang
88,13510,1575504000,Condominium/Apartment,Leasehold,2239,1,4.0,CHANGKAT DUTA KIARA,607,1360000,Mont Kiara
89,13520,1575417600,Condominium/Apartment,Leasehold,2411,1,3.0,JALAN MEDANG TANDUK,621,1497000,Bangsar
90,13652,1575936000,Condominium/Apartment,Leasehold,2906,1,5.0,JALAN RITCHIE,551,1600000,Ampang Hilir
91,10138,1576022400,Condominium/Apartment,Leasehold,1873,1,4.0,CHANGKAT DUTA KIARA,694,1300000,Salak Selatan
92,13690,1576540800,Detached House,Leasehold,5231,0,7.0,JALAN BUKIT KIARA,1376,7200000,Mont Kiara
93,13230,1575936000,Terrace House,Leasehold,883,0,2.0,LORONG WANGSA CERIA 1C,510,450000,Wangsa Maju
94,15138,1576540800,Hotel/Service Apartment,Leasehold,926,1,3.0,JALAN KELANG LAMA,378,350000,Jalan Klang Lama (Old Klang Road)
95,28340,1577145600,Terrace House,Leasehold,1507,0,3.0,JALAN AMAN SERENIA 7/10 BANDAR SERENIA,406,611888,Dengkil
96,28340,1577145600,Terrace House,Leasehold,1507,0,3.0,JALAN AMAN SERENIA 7/9 BANDAR SERENIA,398,599888,Dengkil
97,28340,1577145600,Terrace House,Leasehold,1507,0,4.0,JALAN AMAN SERENIA 7/9 BANDAR SERENIA,406,611888,Dengkil
98,28340,1577145600,Terrace House,Leasehold,1507,0,3.0,JALAN AMAN SERENIA 7/9 BANDAR SERENIA,406,611888,Dengkil
99,28340,1577145600,Terrace House,Leasehold,1507,0,3.0,JALAN AMAN SERENIA 7/10 BANDAR SERENIA,406,611888,Dengkil
