,name,category,latitude,longitude
0,Sekolah Menengah Kebangsaan Kepong Baru,education,3.1977700000000002,101.647
1,Sekolah Kebangsaan Taman Kepong,education,3.19895,101.648
2,Sekolah Kebangsaan Kepong Baru,education,3.205899,101.645528
3,Sekolah Kebangsaan Menjalara,education,3.193969,101.637578
4,Sekolah Menengah Kebangsaan Taman Bukit Maluri,education,3.20245,101.634
5,Sekolah Menengah Kebangsaan Menjalara,education,3.193501,101.636275
6,Sekolah Kebangsaan Seri Kepong,education,3.1912700000000003,101.647
7,Sekolah Jenis Kebangsaan (Tamil) Ladang Edinburgh,education,3.2025799999999998,101.633
8,Sekolah Kebangsaan Taman Bukit Maluri,education,3.2037,101.633
9,Sekolah Menengah Kebangsaan Sinar Bintang,education,3.1886799999999997,101.645
10,Tzu Chi International School,education,3.2095517000000005,101.6495568
11,Sekolah Jenis Kebangsaan (Cina) Kepong 3,education,3.18853,101.640709
12,Kolej Tingkatan Enam Desa Mahkota,education,3.188694,101.639831
13,The International School @ Parkcity,education,3.1879,101.6376
14,Brainy Bunch - Bandar Manjalara (new),education,3.193876700000001,101.6301282
15,Sekolah Jenis Kebangsaan (Tamil) Segambut,education,3.195592,101.658441
16,Sekolah Kebangsaan Taman Seri Sinar,education,3.18827,101.654
17,Pintar College,education,3.2146369999999997,101.635976
18,Sekolah Jenis Kebangsaan (Cina) Kepong 1,education,3.214727,101.634847
19,Sma Kuala Lumpur,education,3.1973700000000003,101.626
20,Sekolah Jenis Kebangsaan (Cina) Kepong 2,education,3.215564,101.634744
21,Sekolah Menengah Kebangsaan Segambut Jaya,education,3.18552,101.65299999999999
22,Brainy Bunch -  Segambut (new),education,3.1852185,101.6537584
23,Sekolah Kebangsaan Bandar Baru Sri Damansara,education,3.206248,101.62431600000001
24,Hibiscus International School,education,3.1900275000000002,101.6602254
25,Sekolah Jenis Kebangsaan (Cina) Jinjang Selatan,education,3.204414,101.66471700000001
26,Sekolah Kebangsaan La Salle 1 Jinjang,education,3.213833,101.6618
27,Sekolah Kebangsaan La Salle 2 Jinjang,education,3.213833,101.6618
28,Sekolah Kebangsaan Taman Ehsan,education,3.219831,101.63068100000001
29,Sekolah Kebangsaan Segambut Makmur,education,3.1811,101.65700000000001
30,Lycee Francais de Kuala Lumpur (LFKL),education,3.1790657,101.653807
31,Sekolah Menengah Kebangsaan Raja Abdullah,education,3.20253,101.667
32,Sekolah Jenis Kebangsaan (Cina) Desa Jaya,education,3.216628,101.625497
33,Sekolah Jenis Kebangsaan (Cina) Jinjang Tengah 1,education,3.215125,101.66318000000001
34,Sekolah Menengah Kebangsaan Jinjang,education,3.22255,101.655
35,Sekolah Jenis Kebangsaan (Cina) Jinjang Tengah 2,education,3.2161,101.663088
36,Sekolah Menengah Kebangsaan Kepong,education,3.225578,101.63539200000001
37,Montessori Kids Academy,education,3.195385,101.616422
38,Parkcity Medical Centre,healthcare,3.1894857000000005,101.63829009999999
39,Klinik Pakar Wanita Kepong Dan Pusat Bersalin,healthcare,3.2131060000000002,101.64611020000001
40,Klinik Kesihatan Jinjang ,healthcare,3.219822,101.654214
41,Kepong,transportation,3.2025,101.63722220000001
42,Kepong Baru,transportation,3.211774,101.647816
43,Metro Prima,transportation,3.2145669999999997,101.64065699999999
44,United Point,transportation,3.1916919999999998,101.655263
45,Jinjang,transportation,3.209457,101.65561600000001
46,Kepong Sentral,transportation,3.2079459999999997,101.628578
47,Kepong Sentral,transportation,3.2086111,101.6280556
48,Sri Damansara East,transportation,3.198734,101.621178
49,Sri Delima,transportation,3.207584,101.665178
50,Segambut,transportation,3.1863889,101.6638889
51,Sekolah Menengah Kebangsaan Bandar Tun Razak,education,3.09148,101.72399999999999
52,Sekolah Menengah Integrasi Sains Tahfiz (Smista) Maiwp,education,3.0916189999999997,101.718231
53,Sekolah Kebangsaan Bandar Tun Razak 2,education,3.09157,101.725
54,Sekolah Kebangsaan Bandar Tun Razak 1,education,3.09163,101.725
55,Sekolah Jenis Kebangsaan (Cina) Imbi,education,3.08873,101.730283
56,Sekolah Menengah Kebangsaan Seri Mulia,education,3.093455,101.71395600000001
57,Sekolah Menengah Kebangsaan Seri Mutiara,education,3.0886099999999996,101.73100000000001
58,Sekolah Menengah Kebangsaan Desa Petaling,education,3.081886175,101.71218590000001
59,Sekolah Kebangsaan Taman Midah 2,education,3.09583,101.728
60,Sekolah Kebangsaan Taman Midah,education,3.0954,101.73
61,Sma Majlis Agama Islam Wilayah Persekutuan,education,3.094785,101.711802
62,Sekolah Kebangsaan Desa Petaling,education,3.08338,101.709
63,Sekolah Kebangsaan Bandar Tasik Selatan,education,3.0739799999999997,101.72
64,Sekolah Menengah Kebangsaan Seri Tasik,education,3.097235,101.711554
65,UCSI University Malaysia,education,3.0796189999999997,101.733266
66,Sekolah Kebangsaan Seri Tasik,education,3.096984,101.710667
67,Sekolah Menengah Kebangsaan Bandar Tasik Selatan,education,3.072738357,101.7191987
68,Brainy Bunch - Bandar Sri Permaisuri,education,3.0988797999999997,101.7122545
69,Sekolah Jenis Kebangsaan (Cina) Taman Connaught,education,3.083973,101.735862
70,Sekolah Menengah Kebangsaan Taman Connaught,education,3.08352,101.736
71,Smt Cheras,education,3.10325,101.72200000000001
72,Sekolah Menengah Sains Selangor,education,3.10323,101.72
73,Sekolah Kebangsaan Seri Permaisuri,education,3.104561,101.716918
74,Sekolah Kebangsaan Desa Tasik,education,3.07115,101.713
75,Sekolah Menengah Kebangsaan Orkid Desa,education,3.077156,101.736661
76,Sekolah Menengah Sains Alam Shah,education,3.1056,101.72399999999999
77,Sekolah Jenis Kebangsaan (Cina) Kwong Hon,education,3.0676240000000004,101.716571
78,Sekolah Menengah Kebangsaan Seri Permaisuri,education,3.107298,101.717493
79,Sekolah Kebangsaan Sg Besi,education,3.06717,101.71600000000001
80,Al-Madinah International University,education,3.083603,101.700451
81,Sekolah Jenis Kebangsaan (Tamil) Sg Besi,education,3.06662708,101.71475670000001
82,Sekolah Menengah Kebangsaan Sungai Besi,education,3.0665299999999998,101.715
83,Sekolah Jenis Kebangsaan (Cina) Salak South,education,3.086843,101.699238
84,Sekolah Menengah Kebangsaan Cheras,education,3.10927,101.727
85,COSMOTOTS iqd - Cheras,education,3.0735454,101.7394936
86,A Star Kids - Taman Len Seng,education,3.1015277,101.7403855
87,Sekolah Kebangsaan Taman Segar,education,3.09058,101.745
88,Sekolah Jenis Kebangsaan (Cina) Tai Thung,education,3.106086,101.705617
89,Sekolah Kebangsaan Salak South,education,3.0809083389999996,101.6972446
90,Universiti Pertahanan Nasional Malaysia (Upnm),education,3.0628490000000004,101.715436
91,Sekolah Kebangsaan Pengkalan Tentera Darat,education,3.06232,101.71700000000001
92,Sekolah Kebangsaan Seri Anggerik,education,3.07488,101.745
93,Klinik Kesihatan Bandar Tun Razak ,healthcare,3.087158,101.720489
94,Pusat Pakar Ukm,healthcare,3.09822,101.726
95,Pantai Hospital Cheras,healthcare,3.1025897000000002,101.74069909999999
96,Klinik Kesihatan Sungai Besi,healthcare,3.063225,101.71043900000001
97,Bandar Tun Razak,transportation,3.0896689999999998,101.7125175
98,Bandar Tasik Selatan,transportation,3.0760769,101.7113663
101,Salak Selatan,transportation,3.0980556,101.70527779999999
102,Taman Mutiara,transportation,3.091327,101.74029499999999
103,Taman Midah,transportation,3.104317,101.73214
104,Salak Selatan,transportation,3.1022403,101.70638459999999
105,Taman Naga Emas,transportation,3.07792,101.699439
106,Taman Connaught,transportation,3.079173,101.74514
107,Sungai Besi,transportation,3.064711,101.708523
108,Sungai Besi,transportation,3.064069,101.708371
109,Taman Pertama,transportation,3.11262,101.729256
110,Sekolah Jenis Kebangsaan (Cina) Khai Chee,education,3.18574,101.67
