,property_type,area_sqft,non_landed,bedrooms,price,state,area,median_psf,median_price,nearby_poi_education,nearby_poi_transportation,nearby_poi_healthcare
0,Terrace House,0.2033876221498371,0,0.42857142857142855,610000,Kuala Lumpur,Kepong,0.21385176184690158,0.1013986013986014,0.3431372549019608,0.23809523809523808,0.2
1,Terrace House,0.1472312703583062,0,0.42857142857142855,720000,Kuala Lumpur,Kepong,0.21385176184690158,0.1013986013986014,0.3431372549019608,0.23809523809523808,0.2
2,Terrace House,0.1472312703583062,0,0.42857142857142855,670000,Kuala Lumpur,Kepong,0.21385176184690158,0.1013986013986014,0.3431372549019608,0.23809523809523808,0.2
3,Terrace House,0.373029315960912,0,0.42857142857142855,1100000,Kuala Lumpur,Kepong,0.21385176184690158,0.1013986013986014,0.3431372549019608,0.23809523809523808,0.2
4,Cluster House,0.07570032573289903,0,0.2857142857142857,280000,Kuala Lumpur,Bandar Tun Razak,0.15674362089914945,0.04848489510489511,0.39215686274509803,0.26190476190476186,0.3333333333333333
5,Cluster House,0.12208469055374593,0,0.42857142857142855,410000,Kuala Lumpur,Bandar Tun Razak,0.15674362089914945,0.04848489510489511,0.39215686274509803,0.26190476190476186,0.3333333333333333
6,Cluster House,0.1683387622149837,0,0.2857142857142857,500000,Kuala Lumpur,Bandar Tun Razak,0.15674362089914945,0.04848489510489511,0.39215686274509803,0.26190476190476186,0.3333333333333333
7,Condominium/Apartment,0.08977198697068403,1,0.42857142857142855,450000,Kuala Lumpur,Dutamas,0.2174969623329283,0.05351986013986015,0.5490196078431372,0.38095238095238093,0.6666666666666666
8,Condominium/Apartment,0.08977198697068403,1,0.42857142857142855,438000,Kuala Lumpur,Dutamas,0.2174969623329283,0.05351986013986015,0.5490196078431372,0.38095238095238093,0.6666666666666666
9,Condominium/Apartment,0.08977198697068403,1,0.42857142857142855,410000,Kuala Lumpur,Dutamas,0.2174969623329283,0.05351986013986015,0.5490196078431372,0.38095238095238093,0.6666666666666666
10,Terrace House,0.19074918566775242,0,0.5714285714285714,1390000,Kuala Lumpur,Taman Tun Dr Ismail,0.47266099635479947,0.20862475524475524,0.3235294117647059,0.16666666666666666,0.2
11,Terrace House,0.1949185667752443,0,0.5714285714285714,1635000,Kuala Lumpur,Taman Tun Dr Ismail,0.47266099635479947,0.20862475524475524,0.3235294117647059,0.16666666666666666,0.2
12,Terrace House,0.1949185667752443,0,0.5714285714285714,1600000,Kuala Lumpur,Taman Tun Dr Ismail,0.47266099635479947,0.20862475524475524,0.3235294117647059,0.16666666666666666,0.2
13,Terrace House,0.16130293159609121,0,0.42857142857142855,790000,Kuala Lumpur,Bandar Menjalara,0.2891859052247873,0.08181818181818182,0.3235294117647059,0.21428571428571427,0.2
