project_id,asset_id,latitude,longitude,project_name,state,area,street_name,transaction_count,median_psf,median_price
18359,285191.0,1.69917,103.48528,Kampung Baru Ayer Bemban,Johor,Kulai,JALAN AIR BEMBAN,2,32.0,95000
18360,285192.0,,,Kampung Baru Batu Anam,Johor,Muar,JALAN FRANCIS KHOO,2,62.0,110000
29152,,0.0,0.0,Kampung Baru Chamek,Johor,Kluang,JALAN KOKO,2,29.0,120000
18363,285195.0,,,Kampung Baru Jemaluang,Johor,Mersing,LORONG TENGAH,2,35.0,52500
18364,285196.0,2.212087,103.54209,Kampung Baru Kahang,Johor,Bekok,JALAN IKAN MERAH,2,69.0,217500
18372,285204.0,,,Kampung Baru Paloh,Johor,Kluang,JALAN MAJU 3,2,49.0,345000
18375,285207.0,0.0,0.0,Kampung Baru Renggam,Johor,Rengam,JALAN PERPADUAN,2,51.0,55000
28016,,2.7007349,102.6831278,Kampung Baru Simpang Renggam,Johor,Batu Pahat,JALAN KENANGA,2,33.0,170000
18380,285212.0,,,Kampung Baru Sungai Rengit,Johor,Parit Raja,JALAN KURAU 2,2,107.0,940000
18401,285233.0,,,Kampung Kangkar Tebrau,Johor,Johor Bahru,JALAN DANG ANUM,2,4.0,400000
18407,285239.0,,,Kampung Kopok Baru,Johor,Pasir Gudang,JALAN HIKMAH 9,2,77.0,212500
18413,285245.0,,,Kampung Maju Jaya,Johor,Johor Bahru,JALAN MULIA,2,41.0,230000
18459,285291.0,,,Kampung Sri Tambak,Johor,Kluang,LORONG 3,2,46.0,245000
27996,,2.2657064,102.5289933,Kampung Tanjung Batu,Johor,Tangkak,JALAN NAIB LONG,2,56.0,135000
18464,285296.0,,,Kampung Tengah,Johor,Segamat,JALAN KAMPUNG TENGAH,2,59.0,235000
18468,285300.0,,,Kampung Ungku Mohsin,Johor,Johor Bahru,JALAN AHAD,2,36.0,287500
18472,285304.0,,,Kawasan Perindustrian Pandan,Johor,Johor Bahru,JALAN WAJA 5,2,118.0,500000
10287,264462.0,1.426100016,103.6080017,Ledang Heights,Johor,Ledang Heights,JALAN DELIMA,2,193.0,2300000
14507,8840.0,1.499345,103.821917,"Mon Glori, , Bandar Baru Permas Jaya",Johor,Permas Jaya/Senibong,MON GLORI APT,2,285.0,242500
18494,285324.0,1.5066525,103.8685847,Octville Condominium,Johor,Masai,PERSIARAN SERI ALAM,2,368.0,525000
10760,5101.0,1.464030027,103.7679977,Orchid View,Johor,Johor Bahru,JALAN LUMBA KUDA,2,410.0,835000
28176,,1.5086911,103.717741,Pangsapuri Dwi Alif,Johor,Johor Bahru,JALAN TAMPOI,2,251.0,264100
18503,285084.0,1.4969388,103.7118959,"Pangsapuri Ledang, Bandar Baru Uda",Johor,Johor Bahru,JALAN PADI MAHSURI 1,2,184.0,95000
18507,285087.0,2.0430463,102.5811428,Pangsapuri Permata,Johor,Kulai,JALAN HJ JAIB,2,192.0,190000
16277,10610.0,1.471062,103.762499,Pangsapuri Seri Kencana Setia (SKS Pavillion Residences),Johor,Johor Bahru,JALAN STOREY,2,754.0,559625
18510,285089.0,,,Pangsapuri Sri Bakariah,Johor,Muar,JALAN BAKARIAH,2,69.0,45000
16067,10400.0,1.468477,103.77047,Paragon Suites,Johor,Johor Bahru,JALAN INDERAPUTRA,2,553.0,500000
18520,285338.0,,,Pekan Endau,Johor,Mersing,JALAN BAYAN,2,56.0,67500
28101,,1.4602474,103.9087984,Perumahan Bakti,Johor,Pasir Gudang,JALAN 10/14,2,204.0,195000
16178,10511.0,1.562246783,103.7986135,Rumah Pangsa Gaya,Johor,Ulu Tiram,JALAN GAYA 11,2,173.0,130000
16182,10515.0,1.65072,103.606733,Rumah Pangsa Kulai,Johor,Kulai,JALAN LENGKUNGAN,2,75.0,41000
16189,10522.0,1.541011,103.818868,Rumah Pangsa Sri Orkid,Johor,Johor Bahru,JALAN EJ 1/4,2,258.0,325000
17205,263993.0,1.4777853,103.6586453,Sky Breeze,Johor,Johor Bahru,JALAN INDAH 13/2,2,581.0,705000
18548,285365.0,,,Taman Air Merah,Johor,Mersing,KAMPUNG WAK SALAM,2,6563.0,307500
23915,367024.0,2.5108179,102.8321647,"Taman Aman, Segamat",Johor,Segamat,JALAN AMAN,2,80.0,162750
18562,285379.0,,,Taman Anak Bukit,Johor,Senai,JALAN ANAK BUKIT 4,2,160.0,1359000
