name,type,sub_type,category,latitude,longitude
Sekolah Menengah Kebangsaan Kompleks Sultan Abu Bakar,secondary,education,Public School,1.3842821269999999,103.5991725
Sekolah Kebangsaan Kompleks Sultan Abu Bakar,cluster,education,Public School,1.3860143280000001,103.5971099
Sekolah Kebangsaan Morni Pok,primary,education,Public School,1.35992929,103.58787240000001
Sekolah Kebangsaan Tiram Duku,primary,education,Public School,1.381466628,103.56585679999999
Sekolah Kebangsaan Tg Kupang,primary,education,Public School,1.360079451,103.6124253
Sekolah Menengah Kebangsaan Tanjung Adang,secondary,education,Public School,1.3555,103.5657
Sekolah Kebangsaan Tanjong Adang,primary,education,Public School,1.35451811,103.56507359999999
Sekolah Kebangsaan Pendas Laut,cluster,education,Public School,1.374462724,103.6284435
Shattuck St. Mary's School,early years,education,International School,1.3366912,103.5938561
Klinik Desa Paya Mengkuang,clinic,healthcare,Government,1.37694,103.59361
Klinik Kesihatan Paya Mengkuang,clinic,healthcare,Government,1.3791879999999999,103.589448
Klinik Desa Tiram Duku,clinic,healthcare,Government,1.3824299999999998,103.56832
Sekolah Kebangsaan Sungai Kapal,primary,education,Public School,1.385585,104.26785500000001
Sekolah Jenis Kebangsaan (Cina) Tai Sin,primary,education,Public School,1.383751,104.268225
Sekolah Jenis Kebangsaan (Cina) Peay Min,primary,education,Public School,1.372343717,104.24723709999999
Sekolah Kebangsaan Telok Ramunia,primary,education,Public School,1.368482,104.239513
Klinik Desa Teluk Ramunia,clinic,healthcare,Government,1.3724299999999998,104.24753
Sekolah Kebangsaan Medini,primary,education,Public School,1.423291192,103.64177409999999
Sekolah Kebangsaan Sikijang,primary,education,Public School,1.43090094,103.66469620000001
Raffles American School,elementary,education,International School,1.439022,103.648095
Mount Kelly Malaysia,preschool,education,International School,1.4136360000000001,103.627117
Paragon Private and International School,primary,education,Private School,1.3922780000000001,103.638416
Sunway International School - Sunway Iskandar,primary,education,International School,1.3930202,103.635092
Marlborough College Malaysia,primary,education,International School,1.442828,103.650902
University of Reading Malaysia,tertiary,education,Private University,1.430485,103.615679
Cherie Hearts International Preschool - Setia Eco Garden,preschool,education,Preschool,1.4378363,103.6189968
Sekolah Menengah Kebangsaan Medini,secondary,education,Public School,1.43726651,103.6174572
NuMED - Newcastle University Medicine Malaysia,tertiary,education,Private University College,1.429539,103.61357199999999
University of Southampton Malaysia Campus,tertiary,education,Private University,1.430168,103.612131
Gleneagles Medini,hospital,healthcare,Private,1.4263424,103.63562259999999
Hoo Specialist Maternity & Surgery Sdn. Bhd.,hospital,healthcare,Private,1.42697,103.6354115
Sekolah Jenis Kebangsaan (Cina) Ming Chih,primary,education,Public School,1.458918,103.64465
Sekolah Kebangsaan Ladang Pendas,primary,education,Public School,1.424862481,103.5924858
Sekolah Menengah Kebangsaan Gelang Patah,secondary,education,Public School,1.449413061,103.59095959999999
Sekolah Kebangsaan Gelang Patah,primary,education,Public School,1.448587205,103.5885912
Sekolah Jenis Kebangsaan (Cina) Ming Terk,primary,education,Public School,1.450142389,103.5902488
Sekolah Kebangsaan Taman Nusa Perintis,primary,education,Public School,1.455907284,103.59262530000001
Klinik Kesihatan Gelang Patah,clinic,healthcare,Government,1.447719,103.590287
Sekolah Kebangsaan Sungai Melayu,primary,education,Public School,1.452866639,103.6962068
Klinik Desa Sungai Melayu,clinic,healthcare,Government,1.4519,103.69329
Sekolah Jenis Kebangsaan (Tamil) Gelang Patah,primary,education,Public School,1.458679791,103.57474029999999
Sekolah Menengah Kebangsaan Taman Nusajaya,secondary,education,Public School,1.4687052980000002,103.5820225
Sekolah Kebangsaan Nusantara,primary,education,Public School,1.468252154,103.580727
Sekolah Kebangsaan Kampung Pulai,primary,education,Public School,1.4767304980000002,103.5672998
Klinik Desa Kampung Pulai,clinic,healthcare,Government,1.4771459999999998,103.566077
Sekolah Menengah Kebangsaan Taman Bukit Indah,secondary,education,Public School,1.48058623,103.6426404
Columbia Asia Hospital Iskandar Puteri,hospital,healthcare,Private,1.4788125,103.6373554
Sekolah Kebangsaan Tg Puteri Resort,primary,education,Public School,1.454459358,103.9328849
