project_id,latitude,longitude,state,area,median_psf,median_price
19108,2.5377096,102.831385,Johor,Segamat,93.0,141875
19165,,,Johor,Pontian,177.0,276435
19172,,,Johor,Rengit,71.0,110375
19178,,,Johor,Batu Pahat,113.0,155625
19193,1.8772735,102.9749374,Johor,Batu Pahat,105.0,219375
19211,0.0,0.0,Johor,Batu Pahat,120.0,176375
23523,2.256924,102.530481,Johor,Tangkak,94.0,322331
19343,,,Johor,Kluang,86.0,129625
19357,,,Johor,Batu Pahat,77.0,97875
19382,,,Johor,Pontian,82.0,78500
19409,1.9868866,102.6055947,Johor,Muar,153.0,345188
19442,2.47879,102.84698,Johor,Segamat,77.0,107875
19501,1.8652963,102.9335666,Johor,Batu Pahat,82.0,346250
19516,2.27526,102.55436,Johor,Tangkak,118.0,166500
28173,1.8026515,102.9670465,Johor,Batu Pahat,318.0,787740
15682,1.417049,103.655446,Johor,Kota Iskandar,711.0,1744286
9928,1.466560006,103.7710037,Johor,Johor Bahru,245.0,430715
18364,2.212087,103.54209,Johor,Bekok,46.0,160572
28015,1.8127213,103.4773572,Johor,Layang Layang,62.0,224143
18404,,,Johor,Bakri,55.0,59286
18471,1.5292224,103.6992587,Johor,Johor Bahru,58.0,376786
14554,1.469431938,103.744905,Johor,Johor Bahru,255.0,678572
10792,1.500869989,103.822998,Johor,Permas Jaya/Senibong,311.0,391429
18520,,,Johor,Mersing,64.0,130429
28101,1.4602474,103.9087984,Johor,Pasir Gudang,159.0,152143
16182,1.65072,103.606733,Johor,Kulai,55.0,31286
16312,1.511099,103.682343,Johor,Tampoi,299.0,263572
18543,2.5077569,102.8295657,Johor,Segamat,134.0,233572
18573,,,Johor,Muar,159.0,502386
18590,,,Johor,Muar,118.0,191429
18614,,,Johor,Segamat,189.0,573848
18628,,,Johor,Batu Pahat,388.0,445383
12122,1.4956887,103.8597537,Johor,Masai,148.0,1135286
18667,,,Johor,Johor Bahru,118.0,166429
18697,2.56836,102.72164,Johor,Batu Anam,61.0,75572
18712,,,Johor,Ulu Tiram,111.0,415715
18828,0.0,0.0,Johor,Skudai,131.0,130000
18878,1.8422389,102.946347,Johor,Batu Pahat,110.0,340000
10312,1.5090248,103.7021132,Johor,Johor Bahru,56.0,279858
18913,,,Johor,Pontian,92.0,128286
23913,2.5067836,102.8318618,Johor,Segamat,65.0,74286
19000,2.4241923,103.8370822,Johor,Mersing,100.0,301429
19009,2.50248,102.83199,Johor,Segamat,91.0,217572
23591,0.0,0.0,Johor,Muar,104.0,325000
19054,,,Johor,Labis,100.0,126143
19110,2.0424227,102.5774436,Johor,Muar,113.0,216858
19174,,,Johor,Rengit,132.0,158572
19180,,,Johor,Kluang,70.0,100429
19209,1.8263371,103.3119072,Johor,Simpang Renggam,90.0,134572
19230,1.8557763,102.9322883,Johor,Batu Pahat,153.0,205286
19235,1.6050413,103.6381397,Johor,Senai,193.0,220000
19283,,,Johor,Senai,297.0,457143
19284,,,Johor,Muar,219.0,404286
19305,2.0219161,103.0681081,Johor,Yong Peng,101.0,198143
19344,,,Johor,Batu Pahat,59.0,188072
19351,0.0,0.0,Johor,Layang Layang,43.0,77715
13057,2.042639971,102.5739975,Johor,Muar,123.0,313572
11739,0.0,0.0,Johor,Batu Pahat,117.0,194715
19441,2.0776745,102.5821114,Johor,Muar,99.0,228858
28169,0.0,0.0,Johor,Muar,156.0,473898
19471,,,Johor,Muar,135.0,250858
19476,2.4559199,102.9763258,Johor,Segamat,81.0,118572
13193,1.598690033,103.822998,Johor,Ulu Tiram,140.0,228572
19488,,,Johor,Ulu Tiram,93.0,301000
19492,,,Johor,Kluang,222.0,681429
23532,2.279724,102.520446,Johor,Tangkak,106.0,422286
19508,,,Johor,Parit Raja,159.0,255000
15392,1.5082733,103.7186891,Johor,Johor Bahru,473.0,423572
18330,,,Johor,Segamat,28.0,238000
9127,1.468999982,103.6669998,Johor,Johor Bahru,226.0,883334
15517,1.5471461,103.7045324,Johor,Johor Bahru,441.0,310334
18374,1.5243786,103.8243576,Johor,Plentong,44.0,312500
18413,,,Johor,Johor Bahru,31.0,205000
18433,,,Johor,Kluang,49.0,173667
18468,,,Johor,Johor Bahru,29.0,169167
22892,1.5290687,103.7261102,Johor,Johor Bahru,104.0,915000
10287,1.426100016,103.6080017,Johor,Ledang Heights,304.0,3026667
8615,1.470027,103.743373,Johor,Johor Bahru,379.0,539667
28168,1.7278279,103.6406149,Johor,Kulai,188.0,214500
18572,,,Johor,Ayer Hitam,38.0,187167
18576,,,Johor,Senai,137.0,273834
23539,0.0,0.0,Johor,Muar,120.0,307500
18608,2.38392,103.02718,Johor,Labis,103.0,148334
18617,,,Johor,Yong Peng,91.0,166834
28146,2.4798892,102.8533199,Johor,Segamat,147.0,251334
18701,,,Johor,Senai,130.0,156500
18714,,,Johor,Kluang,150.0,357500
18720,,,Johor,Ayer Hitam,96.0,111684
18775,,,Johor,Muar,116.0,192500
18794,,,Johor,Pekan Nanas (Pekan Nenas),102.0,155834
28180,0.0,0.0,Johor,Endau,92.0,302084
18795,,,Johor,Muar,171.0,201000
23582,0.0,0.0,Johor,Tangkak,103.0,218334
18801,,,Johor,Kulai,172.0,265000
23597,0.0,0.0,Johor,Muar,244.0,987167
18833,,,Johor,Jementah,56.0,91667
23524,2.037308,102.554909,Johor,Muar,147.0,292550
29164,2.2147303,103.5375664,Johor,Kluang,155.0,257517
18892,,,Johor,Muar,104.0,191834
12511,1.658789992,103.5999985,Johor,Kulai,149.0,273834
19143,1.5547825,103.568892,Johor,Kangkar Pulai,262.0,523503
24059,1.4449611,103.618038,Johor,Iskandar Puteri (Nusajaya),425.0,1121038
19146,1.8517206,103.0225954,Johor,Seri Gading,248.0,482987
14092,1.474266,103.748685,Johor,Johor Bahru,170.0,177995
12687,1.496719956,103.9029999,Johor,Pasir Gudang,166.0,258727
19252,,,Johor,Kulai,320.0,374550
18314,,,Johor,Pasir Gudang,176.0,254099
18694,,,Johor,Kota Tinggi,180.0,347664
13183,1.571709991,103.6110001,Johor,Skudai,157.0,229857
19299,1.8382055,102.9314751,Johor,Batu Pahat,131.0,179782
18932,,,Johor,Masai,99.0,77167
18934,,,Johor,Labis,76.0,111334
12573,1.483049989,103.8830032,Johor,Masai,99.0,74167
19036,1.9895953,102.8732944,Johor,Parit Sulong,138.0,352800
23595,0.0,0.0,Johor,Muar,186.0,433334
