,project_id,latitude,longitude,township,state,area,median_psf,median_price,poi_nearby_education,poi_nearby_transportation,poi_nearby_healthcare,nearest_school,nearest_train_station,nearest_hospital,total_poi_nearby,nearest_poi,transaction_count
1,28054,1.8508385,103.0985005,Taman Melewar 2,Johor,Parit Raja,32.5,140000.0,7,0,3,702.136113921282,118252.66994133467,16451.532366955136,10,702.136113921282,2
3,19000,2.4241923,103.8370822,Taman Mersing,Johor,Mersing,92.5,290000.0,10,0,2,583.6774276512322,179113.58638790736,1102.221381036585,12,583.6774276512322,4
4,19009,2.50248,102.83199,"Taman Mewah, Sungai Segamat",Johor,Segamat,58.0,160000.0,16,0,4,473.26089198831386,67413.07373590601,1875.2751878175231,20,473.26089198831386,3
5,19036,1.9895953,102.8732944,"Taman Mutiara, Parit Sulong",Johor,Parit Sulong,147.0,368800.0,7,0,2,637.406345590897,88944.03126894942,15547.190897108767,9,637.406345590897,3
9,28046,2.1098055,103.3962741,Taman Perdana,Johor,Kluang,102.0,235000.0,4,0,1,382.8487111118322,135798.1062025333,10308.194046673114,5,382.8487111118322,4
10,19102,1.8499264,102.9497359,"Taman Perdana, Batu Pahat",Johor,Batu Pahat,143.0,220000.0,25,0,5,126.01934028141807,105180.36161487226,1261.0852772881221,30,126.01934028141807,3
11,19108,2.5377096,102.831385,Taman Permai 3,Johor,Segamat,142.0,110000.0,5,0,3,830.8727729180296,67707.05311407032,4017.271329374391,8,830.8727729180296,3
12,19111,2.5346292,102.8305106,"Taman Permai, Segamat",Johor,Segamat,117.0,210000.0,8,0,3,554.5515343179442,67570.02462038968,3669.4657477904807,11,554.5515343179442,4
13,19137,1.49598,103.75989,Taman PKEINJ,Johor,Johor Bahru,150.0,300000.0,39,0,9,251.05331066977521,201299.20607727946,1752.775191831349,48,251.05331066977521,3
15,28109,1.6837751,103.1579509,"Taman Ria, Rengit",Johor,Rengit,132.5,375000.0,5,0,0,818.5514039599437,134737.53653351127,29546.47337613922,5,818.5514039599437,4
16,19194,2.38381,102.91729,"Taman Ros (Taman Pahlawan), Labis",Johor,Labis,137.0,225000.0,2,0,1,68.3416097735745,77266.2436408088,17567.637086092127,3,68.3416097735745,4
17,19211,0.0,0.0,Taman Santalia,Johor,Batu Pahat,124.0,209000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,4
20,19229,2.4560565,102.9787756,"Taman Segar, Labis",Johor,Labis,77.5,125000.0,4,0,2,2393.1399757846557,83604.22675761246,18970.27831382695,6,2393.1399757846557,4
21,19230,1.8557763,102.9322883,Taman Sejahtera,Johor,Batu Pahat,154.0,180000.0,25,0,7,621.3452085404189,103282.50485913163,1128.4657323331915,32,621.3452085404189,4
22,19231,2.400809,103.0149391,Taman Sejati,Johor,Labis,91.5,200000.0,7,0,1,851.040445895632,87896.57110741112,25018.797667139766,8,851.040445895632,4
