name,sub_type,category,line_name,type,latitude,longitude
Sekolah Kebangsaan Bedup,primary,education,,Public School,1.09,110.64
Sekolah Kebangsaan Semukoi,primary,education,,Public School,1.0505950000000002,110.67446699999999
Sekolah Kebangsaan Entayan,primary,education,,Public School,1.07219,110.68762199999999
Sekolah Kebangsaan Sumpas,primary,education,,Public School,1.03253,110.647259
Sekolah Menengah Kebangsaan Serian,secondary,education,,Public School,1.17,110.57
Sekolah Jenis Kebangsaan (Cina) Chung Hua Serian,primary,education,,Public School,1.17,110.57
Sekolah Kebangsaan St Teresa Serian,primary,education,,Public School,1.163111,110.56858100000001
Sekolah Kebangsaan St James Rayang,primary,education,,Public School,1.201633,110.558644
Sekolah Kebangsaan St Patrick Tangga,primary,education,,Public School,1.162,110.54700000000001
Sekolah Kebangsaan Serian,primary,education,,Public School,1.15175,110.57928329999999
Sekolah Kebangsaan Rayang,primary,education,,Public School,1.2015850000000001,110.54945500000001
Sekolah Kebangsaan Koran,primary,education,,Public School,1.15,110.58
Sekolah Kebangsaan St Alban Ampungan,primary,education,,Public School,1.1667020000000001,110.60013799999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 35,primary,education,,Public School,1.2,110.54
Sekolah Kebangsaan St Henry Slabi,primary,education,,Public School,1.14,110.55
Sekolah Menengah Kebangsaan Tarat,secondary,education,,Public School,1.2068666670000001,110.5349833
Hospital Serian,hospital,healthcare,,Government,1.17676,110.56375
Sekolah Kebangsaan Sejijag,primary,education,,Public School,1.203365,110.520358
Sekolah Menengah Kebangsaan Sri Aman,secondary,education,,Public School,1.20795,111.4747
Sekolah Kebangsaan Agama Sri Aman,primary,education,,Public School,1.21035,111.48195
Sekolah Menengah Kebangsaan St Luke,secondary,education,,Public School,1.227116667,111.46888329999999
Sekolah Kebangsaan St Lawrence,primary,education,,Public School,1.1953833329999999,111.47495
Sekolah Kebangsaan St Luke,primary,education,,Public School,1.227933333,111.46835
Sekolah Kebangsaan Sri Aman,primary,education,,Public School,1.2227,111.45785
Sekolah Jenis Kebangsaan (Cina) Chung Hua Simanggang,primary,education,,Public School,1.230916667,111.46551670000001
Sekolah Kebangsaan Abang Aing,primary,education,,Public School,1.238416667,111.4596333
Sekolah Menengah Kebangsaan Simanggang,secondary,education,,Public School,1.2409333329999999,111.45326670000001
Sekolah Kebangsaan Temudok Kem,primary,education,,Public School,1.168783333,111.471
Hospital Sri Aman,hospital,healthcare,,Government,1.23401,111.46274
Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 29,primary,education,,Public School,1.26,110.48
Sekolah Kebangsaan St Barnabas Baru,primary,education,,Public School,1.219734,110.49595
Sekolah Kebangsaan Tian Murud,primary,education,,Public School,1.2685879999999998,110.49466299999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 32,primary,education,,Public School,1.22,110.51
