,name,sub_type,category,line_name,type,latitude,longitude,coordinates
0,Sekolah Kebangsaan Bedup,primary,education,,Public School,1.09,110.64,"(1.09, 110.64)"
1,Sekolah Kebangsaan Semukoi,primary,education,,Public School,1.0505950000000002,110.67446699999999,"(1.0506, 110.6745)"
2,Sekolah Kebangsaan Entayan,primary,education,,Public School,1.07219,110.68762199999999,"(1.0722, 110.6876)"
3,Sekolah Kebangsaan Sumpas,primary,education,,Public School,1.03253,110.647259,"(1.0325, 110.6473)"
4,Sekolah Menengah Kebangsaan Serian,secondary,education,,Public School,1.17,110.57,"(1.17, 110.57)"
5,Sekolah Jenis Kebangsaan (Cina) Chung Hua Serian,primary,education,,Public School,1.17,110.57,"(1.17, 110.57)"
6,Sekolah Kebangsaan St Teresa Serian,primary,education,,Public School,1.163111,110.56858100000001,"(1.1631, 110.5686)"
7,Sekolah Kebangsaan St James Rayang,primary,education,,Public School,1.201633,110.558644,"(1.2016, 110.5586)"
8,Sekolah Kebangsaan St Patrick Tangga,primary,education,,Public School,1.162,110.54700000000001,"(1.162, 110.547)"
9,Sekolah Kebangsaan Serian,primary,education,,Public School,1.15175,110.57928329999999,"(1.1518, 110.5793)"
10,Sekolah Kebangsaan Rayang,primary,education,,Public School,1.2015850000000001,110.54945500000001,"(1.2016, 110.5495)"
11,Sekolah Kebangsaan Koran,primary,education,,Public School,1.15,110.58,"(1.15, 110.58)"
12,Sekolah Kebangsaan St Alban Ampungan,primary,education,,Public School,1.1667020000000001,110.60013799999999,"(1.1667, 110.6001)"
13,Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 35,primary,education,,Public School,1.2,110.54,"(1.2, 110.54)"
14,Sekolah Kebangsaan St Henry Slabi,primary,education,,Public School,1.14,110.55,"(1.14, 110.55)"
15,Sekolah Menengah Kebangsaan Tarat,secondary,education,,Public School,1.2068666670000001,110.5349833,"(1.2069, 110.535)"
16,Hospital Serian,hospital,healthcare,,Government,1.17676,110.56375,"(1.1768, 110.5638)"
17,Sekolah Kebangsaan Sejijag,primary,education,,Public School,1.203365,110.520358,"(1.2034, 110.5204)"
18,Sekolah Menengah Kebangsaan Sri Aman,secondary,education,,Public School,1.20795,111.4747,"(1.208, 111.4747)"
19,Sekolah Kebangsaan Agama Sri Aman,primary,education,,Public School,1.21035,111.48195,"(1.2104, 111.482)"
20,Sekolah Menengah Kebangsaan St Luke,secondary,education,,Public School,1.227116667,111.46888329999999,"(1.2271, 111.4689)"
21,Sekolah Kebangsaan St Lawrence,primary,education,,Public School,1.1953833329999999,111.47495,"(1.1954, 111.475)"
22,Sekolah Kebangsaan St Luke,primary,education,,Public School,1.227933333,111.46835,"(1.2279, 111.4684)"
23,Sekolah Kebangsaan Sri Aman,primary,education,,Public School,1.2227,111.45785,"(1.2227, 111.4578)"
24,Sekolah Jenis Kebangsaan (Cina) Chung Hua Simanggang,primary,education,,Public School,1.230916667,111.46551670000001,"(1.2309, 111.4655)"
25,Sekolah Kebangsaan Abang Aing,primary,education,,Public School,1.238416667,111.4596333,"(1.2384, 111.4596)"
26,Sekolah Menengah Kebangsaan Simanggang,secondary,education,,Public School,1.2409333329999999,111.45326670000001,"(1.2409, 111.4533)"
27,Sekolah Kebangsaan Temudok Kem,primary,education,,Public School,1.168783333,111.471,"(1.1688, 111.471)"
28,Hospital Sri Aman,hospital,healthcare,,Government,1.23401,111.46274,"(1.234, 111.4627)"
29,Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 29,primary,education,,Public School,1.26,110.48,"(1.26, 110.48)"
30,Sekolah Kebangsaan St Barnabas Baru,primary,education,,Public School,1.219734,110.49595,"(1.2197, 110.496)"
31,Sekolah Kebangsaan Tian Murud,primary,education,,Public School,1.2685879999999998,110.49466299999999,"(1.2686, 110.4947)"
